gameweek,captured_at,source,player_id,name,club,pos,price,opponent,was_home,eligible,rank_fixture_proxy,minutes_at_deadline,rate_shrinkage_minutes,rate_shrinkage_weight,rank_score,rank_coverage,availability_penalty,z_xgi_per90,z_minutes_per_app,z_fixture_score,z_fdr_next3,z_fdr_next1,z_points_per_million,z_form,z_defcon_surplus_per90,z_defcon_hit_rate,z_bonus_per90,z_net_transfers,z_rival_ownership,rank_basis,minutes_played,actual_points
2,2026-08-28T14:01:10.605836+00:00,squad,226,Pickford,EVE,GKP,5.5,BOU,False,True,False,90,180,0.333,-0.0501,0.8,0.0,,0.5704,-0.4684,-0.9064,-0.2747,0.1618,0.1822,0.0,0.0,-0.6549,-0.1628,0.389,minutes_per_app|fixture_score|fdr_next3|fdr_next1|points_per_million|form|defcon_surplus_per90|defcon_hit_rate|bonus_per90|net_transfers|rival_ownership,90,3
2,2026-08-28T14:01:10.605836+00:00,squad,423,Shaw,MUN,DEF,4.5,IPS,True,True,False,90,180,0.333,-0.1833,1.0,0.0,-0.5515,0.5704,1.3902,0.7226,1.1942,-1.0792,-1.2314,-0.5661,-0.7108,-0.6985,-1.1164,-1.2319,xgi_per90|minutes_per_app|fixture_score|fdr_next3|fdr_next1|points_per_million|form|defcon_surplus_per90|defcon_hit_rate|bonus_per90|net_transfers|rival_ownership,72,2
2,2026-08-28T14:01:10.605836+00:00,squad,229,Tarkowski,EVE,DEF,6.0,BOU,False,True,False,90,180,0.333,-0.3527,1.0,0.0,-1.0451,0.5704,0.1359,-1.1981,-1.0362,-0.1573,-0.0534,-0.5661,-0.7108,-0.6985,-0.4062,0.2089,xgi_per90|minutes_per_app|fixture_score|fdr_next3|fdr_next1|points_per_million|form|defcon_surplus_per90|defcon_hit_rate|bonus_per90|net_transfers|rival_ownership,90,12
2,2026-08-28T14:01:10.605836+00:00,squad,8,Calafiori,ARS,DEF,5.6,AVL,False,True,False,80,180,0.308,-0.4812,1.0,0.0,-0.763,-0.7528,-0.6307,-0.4917,-1.0362,0.5636,0.6534,-0.5,-0.6459,-0.6767,1.871,-2.1324,xgi_per90|minutes_per_app|fixture_score|fdr_next3|fdr_next1|points_per_million|form|defcon_surplus_per90|defcon_hit_rate|bonus_per90|net_transfers|rival_ownership,90,11
2,2026-08-28T14:01:10.605836+00:00,squad,124,Groß,BHA,MID,5.5,CHE,False,True,False,90,180,0.333,-0.6731,1.0,0.0,-0.2694,0.5704,-1.2383,-1.8075,-2.009,-0.9137,-0.9958,-0.4391,-0.6202,-0.1759,-1.1511,-1.2319,xgi_per90|minutes_per_app|fixture_score|fdr_next3|fdr_next1|points_per_million|form|defcon_surplus_per90|defcon_hit_rate|bonus_per90|net_transfers|rival_ownership,90,13
2,2026-08-28T14:01:10.605836+00:00,squad,368,Szoboszlai,LIV,MID,7.0,NFO,True,True,False,90,180,0.333,0.2609,1.0,0.0,1.7052,0.5704,-0.9015,0.767,0.4687,0.0082,0.4178,-0.4391,-0.6202,0.5643,1.0024,-2.4926,xgi_per90|minutes_per_app|fixture_score|fdr_next3|fdr_next1|points_per_million|form|defcon_surplus_per90|defcon_hit_rate|bonus_per90|net_transfers|rival_ownership,90,4
2,2026-08-28T14:01:10.605836+00:00,squad,426,B.Fernandes,MUN,MID,12.0,IPS,True,True,False,90,180,0.333,-0.296,1.0,0.0,-0.1283,0.5704,0.914,0.2521,1.3407,-1.1383,-0.9958,-0.4391,-0.6202,-0.1759,-1.9937,-3.3931,xgi_per90|minutes_per_app|fixture_score|fdr_next3|fdr_next1|points_per_million|form|defcon_surplus_per90|defcon_hit_rate|bonus_per90|net_transfers|rival_ownership,90,23
2,2026-08-28T14:01:10.605836+00:00,squad,427,Mbeumo,MUN,MID,8.0,IPS,True,True,False,90,180,0.333,0.0143,1.0,0.0,0.7884,0.5704,0.914,0.2521,1.3407,-1.0437,-0.9958,-0.4391,-0.6202,-0.1759,-1.6154,-1.7722,xgi_per90|minutes_per_app|fixture_score|fdr_next3|fdr_next1|points_per_million|form|defcon_surplus_per90|defcon_hit_rate|bonus_per90|net_transfers|rival_ownership,90,11
2,2026-08-28T14:01:10.605836+00:00,squad,346,Calvert-Lewin,LEE,FWD,6.0,BRE,True,True,False,90,180,0.333,-0.2462,1.0,0.0,0.1537,0.5704,0.5077,0.6693,0.6187,-1.1383,-1.2314,0.0,0.0,-1.3298,-1.3224,-2.3125,xgi_per90|minutes_per_app|fixture_score|fdr_next3|fdr_next1|points_per_million|form|defcon_surplus_per90|defcon_hit_rate|bonus_per90|net_transfers|rival_ownership,90,8
2,2026-08-28T14:01:10.605836+00:00,squad,411,Haaland,MCI,FWD,15.5,CRY,False,True,False,90,180,0.333,-0.172,1.0,0.0,1.6347,0.5704,0.0736,-0.9941,-1.0577,-1.1856,-0.9958,0.0,0.0,-1.3298,-0.7738,-2.8528,xgi_per90|minutes_per_app|fixture_score|fdr_next3|fdr_next1|points_per_million|form|defcon_surplus_per90|defcon_hit_rate|bonus_per90|net_transfers|rival_ownership,90,13
